"simulation_id","seed","dgp","cv_method","cv_mse","test_mse","estimation_error","squared_estimation_error","absolute_estimation_error","runtime_seconds","n_train","n_test","n_validation_predictions","k","h","success","error_message"
23,20283816,"AR(1)","rolling_origin",0.794364666674047,1.50340517250281,-0.709040505828758,0.502738438905902,0.709040505828758,0.0146560668945312,154,66,77,5,NA,TRUE,""
24,20284816,"AR(1)","kfold",1.04398114723514,1.34385095062547,-0.299869803390329,0.0899218989853545,0.299869803390329,0.0107917785644531,154,66,154,5,NA,TRUE,""
24,20284816,"AR(1)","blocked",1.04988092040976,1.34385095062547,-0.293970030215708,0.086418378665024,0.293970030215708,0.00842690467834473,154,66,154,5,NA,TRUE,""
24,20284816,"AR(1)","hblock",1.07293565987901,1.34385095062547,-0.270915290746461,0.0733950947602396,0.270915290746461,0.00893497467041016,154,66,154,5,5,TRUE,""
24,20284816,"AR(1)","rolling_origin",1.28499612458754,1.34385095062547,-0.0588548260379287,0.00346389054795485,0.0588548260379287,0.00794792175292969,154,66,77,5,NA,TRUE,""
25,20285816,"AR(1)","kfold",0.97463475277073,1.3964278660637,-0.421793113292969,0.177909430421375,0.421793113292969,0.00816893577575684,154,66,154,5,NA,TRUE,""
25,20285816,"AR(1)","blocked",0.988745857243936,1.3964278660637,-0.407682008819762,0.166204620315317,0.407682008819762,0.0082859992980957,154,66,154,5,NA,TRUE,""
25,20285816,"AR(1)","hblock",0.997322860624561,1.3964278660637,-0.399105005439137,0.159284805366574,0.399105005439137,0.00950407981872559,154,66,154,5,5,TRUE,""
25,20285816,"AR(1)","rolling_origin",0.978063282236396,1.3964278660637,-0.418364583827302,0.175028925000992,0.418364583827302,0.0139510631561279,154,66,77,5,NA,TRUE,""
26,20286816,"AR(1)","kfold",0.936895221260604,1.09498186094732,-0.158086639686717,0.024991385647438,0.158086639686717,0.0120880603790283,154,66,154,5,NA,TRUE,""
26,20286816,"AR(1)","blocked",1.06543997702403,1.09498186094732,-0.0295418839232957,0.000872722905737477,0.0295418839232957,0.0105321407318115,154,66,154,5,NA,TRUE,""
26,20286816,"AR(1)","hblock",1.07251746778948,1.09498186094732,-0.0224643931578408,0.000504648959950043,0.0224643931578408,0.0105931758880615,154,66,154,5,5,TRUE,""
26,20286816,"AR(1)","rolling_origin",1.0445646657997,1.09498186094732,-0.0504171951476169,0.00254189356655288,0.0504171951476169,0.0101611614227295,154,66,77,5,NA,TRUE,""
27,20287816,"AR(1)","kfold",0.936613957586901,0.895965906034783,0.0406480515521179,0.00165226409498364,0.0406480515521179,0.0104639530181885,154,66,154,5,NA,TRUE,""
27,20287816,"AR(1)","blocked",0.889461045195923,0.895965906034783,-0.00650486083885993,4.23132145329335e-05,0.00650486083885993,0.00999903678894043,154,66,154,5,NA,TRUE,""
27,20287816,"AR(1)","hblock",0.887719032206115,0.895965906034783,-0.00824687382866751,6.80109279459611e-05,0.00824687382866751,0.0188238620758057,154,66,154,5,5,TRUE,""
27,20287816,"AR(1)","rolling_origin",1.00690878617994,0.895965906034783,0.11094288014516,0.0123083226549032,0.11094288014516,0.010807991027832,154,66,77,5,NA,TRUE,""
28,20288816,"AR(1)","kfold",0.915341948545388,0.734685108728496,0.180656839816892,0.0326368937726263,0.180656839816892,0.00932979583740234,154,66,154,5,NA,TRUE,""
28,20288816,"AR(1)","blocked",0.942654916744093,0.734685108728496,0.207969808015598,0.0432514410460445,0.207969808015598,0.00887084007263184,154,66,154,5,NA,TRUE,""
28,20288816,"AR(1)","hblock",0.932168849621729,0.734685108728496,0.197483740893233,0.0389998279171856,0.197483740893233,0.0113208293914795,154,66,154,5,5,TRUE,""
28,20288816,"AR(1)","rolling_origin",0.810003519801403,0.734685108728496,0.0753184110729072,0.00567286304654742,0.0753184110729072,0.00915098190307617,154,66,77,5,NA,TRUE,""
29,20289816,"AR(1)","kfold",0.866184493347616,1.79003435427352,-0.923849860925908,0.853498565532819,0.923849860925908,0.00937199592590332,154,66,154,5,NA,TRUE,""
29,20289816,"AR(1)","blocked",0.896199613519801,1.79003435427352,-0.893834740753723,0.798940543778275,0.893834740753723,0.00941705703735352,154,66,154,5,NA,TRUE,""
29,20289816,"AR(1)","hblock",0.931763832638223,1.79003435427352,-0.8582705216353,0.736628288308131,0.8582705216353,0.0189759731292725,154,66,154,5,5,TRUE,""
